link,title,date,paragraph
https://www.baccredomatic.com/es-cr/acerca-de-bac/noticia/programa-comunidades-bac-inauguro-dos-empresas-sociales-durante-el-2025,Programa Comunidades BAC inauguró dos empresas sociales durante el 2025,"23 de December, 2025","Dos empresas sociales fueron inauguradas durante el 2025, a través del programa Comunidades BAC. Se trata de una nueva cancha sintética de fútbol 5, localizada en Sixaola, y una panadería artesanal comunitaria en La Palmera de San Carlos. Con estos dos proyectos, Comunidades BAC suma ahora 8 empresas sociales inauguradas en diversas regiones del país, todas lideradas por asociaciones de desarrollo que impulsan modelos de negocio sostenibles y de impacto territorial. En el caso de la cancha sintética de Sixaola, este es un espacio moderno y bajo techo que permite a la niñez, juventud y personas adultas disfrutar del deporte y la recreación en condiciones de calidad. Dicha iniciativa busca apoyar el desarrollo integral de la comunidad, fomentando la convivencia, la recreación segura y la participación de sus habitantes. La Asociación de Desarrollo Integral Parque Margarita es la administradora de esta cancha, y vela para que los recursos generados se reinviertan en proyectos comunitarios y actividades que fortalezcan la cohesión y la colaboración entre vecinos."
https://www.baccredomatic.com/es-cr/acerca-de-bac/noticia/yo-me-uno-voces-que-transforman,Yo me uno: “Voces que transforman”,"22 de December, 2025","En su edición 2025, el concurso Yo me uno: “Voces que transforman” reconoció la labor de las ONG que dan voz a proyectos sociales, ambientales y económicos innovadores en el país, los cuales generan un impacto positivo en comunidades en situación de vulnerabilidad o en riesgo social en diferentes partes del país. Este año, un total de 26 ONG participaron en dicho concurso. De estas, 5 fueron seleccionadas como finalistas y defendieron sus proyectos delante de un jurado conformado por BAC y aliados estratégicos, así como de los asistentes. El evento de premiación se llevó a cabo el miércoles 1 de octubre, donde se les brindó exposición a de proyectos a los invitados especiales, clientes BAC y otras Organizaciones sin fines de lucro. Tras un riguroso proceso de evaluación, Fundación para el Estudio de la Biodiversidad del Pacífico Sur – BIOSUR, la Asociación Moviendo Esperanzas (AME) y la Asociación por la Sonrisa de los Niños (ASONI) fueron las ganadoras de esta edición. Dichas organizaciones ganadoras recibirán recursos económicos y acompañamiento profesional para potenciar su impacto y sostenibilidad. Este respaldo permitirá que sus proyectos puedan crecer, fortalecerse y generar cambios significativos en las comunidades donde operan. Proyectos que transforman vidas"
https://www.baccredomatic.com/es-cr/acerca-de-bac/noticia/congreso-mujeres-bac-desbloqueando-potenciales-reunio-mas-de-400-personas-e,“Congreso Mujeres BAC Desbloqueando Potenciales” reunió a más de 400 personas e impulsó el liderazgo y la transformación,"22 de December, 2025","Con el objetivo de impulsar las oportunidades y la equidad de género, el liderazgo y las habilidades que cada persona posee, BAC realizó el “Congreso Mujeres BAC Desbloqueando Potenciales”, el cual reunió este 6 de noviembre a más de 400 personas —en su mayoría mujeres— quienes recibieron charlas y foros sobre bienestar, ciencia y tecnología y emprendimiento, entre otros temas de gran interés para promover el liderazgo y la transformación. La segunda edición de este congreso, organizado por el programa Mujeres BAC, tuvo por objetivo desbloquear potenciales y cultivar la idea de que cada persona posee potenciales que se pueden convertir en grandes oportunidades que, a su vez, generan prosperidad para muchas otras personas. A través de historias inspiradoras y foros, más de 10 reconocidas personas expositoras abordaron estos temas que impulsan el empoderamiento. Este espacio también contó con los Mercaditos Mujeres BAC, espacios creados por el banco para visibilizar y promover productos y servicios elaborados por emprendedoras clientas de BAC a nuevos mercados. Durante el congreso, Laura Moreno, Vicepresidenta de Relaciones Corporativas de BAC, destacó que avanzar hacia la igualdad de género y las oportunidades no solo es un tema de justicia social, sino también una estrategia clave para la innovación, la productividad y el crecimiento sostenible. “El progreso de nuestras comunidades depende de que todas las personas tengan las mismas oportunidades de aprender, emprender y liderar. Desde BAC reafirmamos nuestro compromiso de crear espacios que desbloqueen potenciales y que impulsen a las mujeres a transformar su entorno”, señaló Moreno."
https://www.baccredomatic.com/es-cr/acerca-de-bac/noticia/lideres-en-electrificacion-de-la-economia,Líderes en electrificación de la economía,"22 de December, 2025","El pasado mes de septiembre, fuimos reconocidos por el ICE como Líderes en Electrificación de la Economía 2025, gracias a nuestra Gestión en Eficiencia Energética. Este galardón otorgado por el Instituto Costarricense de Electricidad, destaca nuestro compromiso con el ambiente y la descarbonización del país, al transformar la manera en que usamos la energía e incorporamos soluciones sostenibles en nuestras operaciones. Este logro nos inspira a seguir liderando con soluciones innovadoras y sostenibles, porque cuando trabajamos con propósito, cuidamos de vos y del planeta. El propósito de BAC es crear prosperidad en las comunidades en las que sirve. Por eso, tenemos claro que el desarrollo sostenible es clave en esta misión, y esto se logra cuando acompañamos a personas, empresas y comunidades en su crecimiento, promoviendo soluciones financieras y no financieras responsables e innovadoras. Como parte de ese compromiso, transformamos la forma en que usamos la energía, comenzando por nuestros propios techos."
https://www.baccredomatic.com/es-cr/acerca-de-bac/noticia/acciones-sostenibles-innovacion-y-liderazgo-posicionan-bac-como-el-banco-con,"Acciones sostenibles, innovación y liderazgo posicionan a BAC como el banco con la mejor reputación del país","22 de December, 2025","Las acciones sostenibles, sustentadas en una estrategia de Triple Valor (basada en las dimensiones: económica, social y ambiental), así como los esfuerzos realizados en materia de reputación corporativa, innovación y liderazgo posicionan a BAC como el banco con la mejor reputación del país, y la tercera empresa con la mejor reputación. Asimismo, la entidad también fue reconocida como la primera empresa en Responsabilidad ESG, durante el 2025. Lo anterior se desprende del ranking Merco Empresas y Merco Responsabilidad ESG, elaborado por el Monitor Empresarial de Reputación Corporativa, que fue dado a conocer esta semana en el país. Durante la premiación, también se reconocieron a las empresas con el Mejor Equipo de Comunicación, ranking en el que BAC ocupó la tercera posición. “Nos sentimos orgullosos de este reconocimiento otorgado por Merco, porque es parte de una labor en la que venimos trabajando de manera sostenida desde hace varios años, y que no sería posible sin la confianza de nuestras personas clientas y proveedoras, pymes, empresas clientas de BAC, aliados estratégicos y nuestra Gente BAC”, mencionó Laura Moreno, vicepresidenta de Relaciones Corporativas de BAC. “Este logro nos impulsa a continuar construyendo en conjunto, bajo un compromiso coherente con nuestro modelo de negocio innovador y de liderazgo, involucrando de forma integral prácticas de conducta empresarial responsables en nuestras operaciones, productos y decisiones”, añadió Moreno."
https://www.baccredomatic.com/es-cr/acerca-de-bac/noticia/mil-drones-brillaron-en-lo-alto-durante-el-festival-de-la-luz,Mil drones brillaron en lo alto durante el Festival de la Luz,"22 de December, 2025","El pasado 13 de diciembre, el cielo de San José se transformó en un espectáculo sin precedentes: 1.000 drones iluminaron La Sabana durante el Festival de la Luz, marcando un hito en Costa Rica. Por segundo año consecutivo, BAC llevó la innovación a nuevas alturas. En 2024 sorprendió con 400 drones; este año superó todas las expectativas con imágenes más definidas, movimientos sincronizados y escenas llenas de color. “El show forma parte de nuestro compromiso por ofrecer experiencias únicas para las familias costarricenses”, afirmó Laura Moreno, vicepresidenta de Relaciones Corporativas de BAC. Bajo el concepto “Muchas historias, una Navidad”, el espectáculo recordó que, aunque cada familia celebra distinto, lo que nos une es el deseo de compartir. Durante 14 minutos, los drones volaron a 200 metros de altura, creando figuras visibles hasta 2 kilómetros a la redonda. “Este show está a la vanguardia mundial, no solo por la cantidad de drones, sino por la tecnología que lo hace posible”, destacó Ricardo Durán, director de AION Dron Shows."
https://www.baccredomatic.com/es-cr/nuestra-empresa/noticia/bac-seleccionado-como-caso-de-estudio-para-los-principios-de-banca,BAC seleccionado como caso de estudio para los Principios de Banca Responsable de Naciones Unidas,"25 de April, 2025","Este año, para apoyar a los bancos miembros, la Iniciativa Financiera del Programa de las Naciones Unidas para el Medio Ambiente (UNEP FI) lanza Banca sostenible: de los principios a la práctica – Serie de estudios de casos de banca responsable, en los cuales BAC ha sido seleccionado para mostrar sus buenas prácticas. Desde el 2021, BAC es signatario de los PRB, como parte de las acciones clave al integrar la gestión de los asuntos ambientales y sociales en su estrategia corporativa de Triple Valor. Así, con la misma excelencia y rigurosidad con la que trabaja para maximizar valor económico, gestiona y promueve la creación de valor ambiental y social en las comunidades donde opera. La estrategia de BAC contempla la alineación de sus objetivos de triple valor (económicos, sociales y ambientales) con los ODS de la Organización de las Naciones Unidas (ONU), los cuales aspiran a poner fin a la pobreza, proteger el planeta, garantizar la paz y prosperidad universal. “Al unirnos a los Principios para la Banca Responsable, trazamos una ruta clara para ser un banco de triple valor, que impacte positivamente a las comunidades y al planeta; por eso, trabajamos iniciativas en todos los países de América Central, para nuestros colaboradores, clientes personas y empresariales”, comentó Jessica Mora, VP Corporativa SR de Experiencia & Sostenibilidad. Algunas de las acciones realizadas por el banco son:"
https://www.baccredomatic.com/es-cr/nuestra-empresa/noticia/positivando-bac-presenta-su-innovadora-plataforma-de-bienestar,Positivando: BAC presenta su innovadora plataforma de bienestar,"25 de April, 2025","BAC lanza Positivando, una plataforma que busca liderar el territorio de bienestar y diferenciarse en el sector financiero. Positivando brinda una gama de beneficios que ofrecen bienestar a los clientes del banco, otorgándoles herramientas que facilitan su día a día y les permiten disfrutar de una vida más plena y satisfactoria. Positivando está diseñada para estar presente en el día a día de las personas, ofreciendo facilidades tecnológicas, entretenimiento y soluciones financieras y no financieras. Además, con Positivando, los clientes de BAC pueden obtener diversidad en entradas y promociones para vivir experiencias únicas. Esta plataforma ofrece un conjunto de soluciones financieras diseñadas para sus necesidades, permitiéndoles manejar sus finanzas de forma simple y segura, también pueden tener al alcance privilegios y un mundo de oportunidades con sus tarjetas BAC, impulsando sus sueños con opciones a la medida. “En BAC tenemos el propósito de desarrollar soluciones financieras centradas en la vida de las personas. Positivando llega precisamente a generar valor a nuestros clientes pues nos permitirá no solo ofrecerles productos y servicios a la medida de sus necesidades sino también experiencias únicas para su desarrollo a nivel laboral, personal y familiar”, comentó Laura Moreno, vicepresidenta de Relaciones Corporativas de BAC. Positivando brinda un abanico de opciones que BAC ofrece para sus clientes, permitiéndoles innovar y optimizar los procesos financieros de sus empresas. Con esta plataforma, pueden acceder a herramientas que facilitan la gestión de sus finanzas personales y empresariales, brindándoles tranquilidad y el respaldo necesario para crecer."
https://www.baccredomatic.com/es-cr/nuestra-empresa/noticia/bac-transforma-la-experiencia-bancaria-en-santa-teresa-con-su-nuevo-centro,BAC transforma la experiencia bancaria en Santa Teresa con su nuevo Centro de Negocios,"25 de April, 2025","Con el compromiso de acercar soluciones financieras innovadoras y generar prosperidad en las comunidades en las que sirve, BAC inauguró su nuevo Centro de Negocios Santa Teresa, un moderno espacio diseñado para fortalecer el ecosistema empresarial y mejorar la experiencia de sus clientes en la región. Este nuevo Centro de Negocios permitirá a las personas físicas, emprendedores y empresarios de Santa Teresa acceder a servicios financieros ágiles y modernos, gracias a que cuenta con tecnología de vanguardia. Además, introduce un área de coworking, salas de reuniones, atención por videollamada y equipos avanzados para la gestión de efectivo. “La comunidad de Santa Teresa ha manifestado la necesidad de servicios financieros eficientes y accesibles para mejorar la ejecución de sus proyectos. Con este nuevo Centro de Negocios, buscamos responder a esas necesidades con una oferta de valor que combina cercanía, innovación y soluciones prácticas. Santa Teresa necesitaba una alternativa bancaria más accesible y alineada con el dinamismo de la zona, y eso es lo que estamos trayendo: un espacio diseñado para que nuestros clientes gestionen sus negocios sin contratiempos y con el respaldo de un banco que entiende sus necesidades”, comentó Laura Moreno, Vicepresidenta de Relaciones Corporativas de BAC. El Centro de Negocios Santa Teresa refleja el compromiso de BAC con la inclusión y la sostenibilidad. La sucursal está adaptada a la Ley 7600, cuenta con un cargador eléctrico para vehículos y se ha diseñado para garantizar la comodidad de clientes y colaboradores. Además, incorpora prácticas ambientales responsables, alineándose con la filosofía de banca sostenible del banco. BAC continúa fortaleciendo su presencia en Costa Rica con una inversión de más de $7,6 millones en aperturas y remodelaciones durante 2024. Entre ellas destacan la inauguración del primer punto de atención en Nicoya ($1,1 millones), la nueva sucursal en Plaza Limón y más recientemente el Centro de Negocios Santa Teresa en la Península de Nicoya ($2 millones)."
https://www.baccredomatic.com/es-cr/nuestra-empresa/noticia/alianza-multisectorial-capacitara-en-habilidades-de-liderazgo-y-finanzas,Alianza multisectorial capacitará en habilidades de liderazgo y finanzas a mujeres ganaderas de la región Chorotega,"25 de April, 2025","Un grupo de 20 mujeres ganaderas de la Región Chorotega recibirán capacitaciones y asesorías gratuitas en temas relacionados con liderazgo, empoderamiento y finanzas, con el fin de que puedan tener más herramientas para liderar en su trabajo, y más puertas abiertas a nuevas oportunidades. Esto será posible gracias a una colaboración tripartita entre BAC, el Ministerio de Economía, Industria y Comercio (MEIC) y la Organización de las Naciones Unidas para la Alimentación y la Agricultura (FAO Costa Rica), en el marco de la Estrategia Nacional de Educación Financiera, liderada por el MEIC. El proceso formativo y de acompañamiento inició en marzo, con la participación de las mujeres en el foro conmemorativo del Día Internacional de las Mujeres. “Desde BAC y nuestro programa Mujeres BAC nos unimos para aportar a este gran esfuerzo que ya realizan el MEIC y la FAO en diferentes zonas del país, para llevar capacitaciones a mujeres emprendedoras. De esta forma, también reafirmamos nuestro compromiso con el desarrollo de la provincia de Guanacaste, en la cual hemos venido trabajando arduamente en los últimos años para llevar más oportunidades a sus habitantes”, comentó Laura Moreno, vicepresidenta de Relaciones Corporativas de BAC. La noticia sobre esta iniciativa fue dada a conocer este jueves 20 de marzo, durante el foro: “Juntas: por vos, por nosotras y por las que vendrán”, realizado por BAC en Liberia, en el marco del mes de la mujer, y con el objetivo de llevar más oportunidades de desarrollo a mujeres de zonas rurales. La actividad contó con la participación de emprendedoras de la provincia, así como con destacadas personas panelistas quienes compartieron información sobre las brechas que actualmente afrontan las mujeres en temas laborales, financieros y educativos, con especial énfasis en la situación de la mujer guanacasteca."
